guide_name,page_no,element_type,element_details,path_data_location
Model -> Direct -> Translational,1,prompt,"Welcome to PATH, here is the guidance",NA
Model -> Direct -> Translational,1,text,Please specify the target scenario,targetScenario
,,,,
Model -> Direct -> Translational,2,prompt,Evidence from model systems about the molecular target of the proposed intervention,NA
Model -> Direct -> Translational,2,text,What evidence do you have from models that suggests the drug engages and has the desired effect on its molecular target (M0-M1)?,m0m1
Model -> Direct -> Translational,2,prompt,Does this evidence address the following threats to validity?,NA
Model -> Direct -> Translational,2,check,Magnitude of effect (The size of the effect being reported is quantified),m0m1:magnitude-of-effect
Model -> Direct -> Translational,2,check,Units are provided for all reported measures of effect where appropriate,m0m1:units-provided
Model -> Direct -> Translational,2,check,"If appropriate, some measure of precision around the estimate of effect has been provided, e.g. p-value, 95% confidence interval, etc.",m0m1:measure-precision
Model -> Direct -> Translational,2,check,Identity of comparator mentioned,m0m1:comparator
Model -> Direct -> Translational,2,prompt,Does this evidence include the following measures to address risk of bias?,NA
Model -> Direct -> Translational,2,check,Randomized experimental design is mentioned,m0m1:randomization
Model -> Direct -> Translational,2,check,Masked experimental design is mentioned,m0m1:masking
Model -> Direct -> Translational,2,check,Study in question was pre-registered,m0m1:preregistration
,,,,
Model -> Direct -> Translational,3,prompt,Evidence from model systems that the drug about the physiological effects of the drug,NA
Model -> Direct -> Translational,3,text,"What evidence from models suggests that the drug, once it has engaged with the molecular target, will go on to produce the intended physiological effect?",m1m2
Model -> Direct -> Translational,3,prompt,Does this evidence address the following threats to validity?,NA
Model -> Direct -> Translational,3,check,Magnitude of effect (The size of the effect being reported is quantified),m1m2:magnitude-of-effect
Model -> Direct -> Translational,3,check,Units are provided for all reported measures of effect where appropriate,m1m2:units-provided
Model -> Direct -> Translational,3,check,"If appropriate, some measure of precision around the estimate of effect has been provided, e.g. p-value, 95% confidence interval, etc.",m1m2:measure-precision
Model -> Direct -> Translational,3,check,Identity of comparator mentioned,m1m2:comparator
Model -> Direct -> Translational,3,prompt,Does this evidence include the following measures to address risk of bias?,NA
Model -> Direct -> Translational,3,check,Randomized experimental design is mentioned,m0m1:randomization
Model -> Direct -> Translational,3,check,Masked experimental design is mentioned,m1m2:masking
Model -> Direct -> Translational,3,check,Study in question was pre-registered,m1m2:preregistration
,,,,
Model -> Direct -> Translational,4,prompt,Evidence from model systems about the clinical effects of the drug,NA
Model -> Direct -> Translational,4,text,"What evidence from models suggests that the drug, once it has produced the intended physiological effect, will go on to also produce the desired clinical effect?",m2m3
Model -> Direct -> Translational,4,prompt,Does this evidence address the following threats to validity?,NA
Model -> Direct -> Translational,4,check,Magnitude of effect (The size of the effect being reported is quantified),m2m3:magnitude-of-effect
Model -> Direct -> Translational,4,check,Units are provided for all reported measures of effect where appropriate,m2m3:units-provided
Model -> Direct -> Translational,4,check,"If appropriate, some measure of precision around the estimate of effect has been provided, e.g. p-value, 95% confidence interval, etc.",m2m3:measure-precision
Model -> Direct -> Translational,4,check,Identity of comparator mentioned,m2m3:comparator
Model -> Direct -> Translational,4,prompt,Does this evidence include the following measures to address risk of bias?,NA
Model -> Direct -> Translational,4,check,Randomized experimental design is mentioned,m0m1:randomization
Model -> Direct -> Translational,4,check,Masked experimental design is mentioned,m2m3:masking
Model -> Direct -> Translational,4,check,Study in question was pre-registered,m2m3:preregistration
,,,,
Model -> Direct -> Translational,5,prompt,Direct evidence about the molecular target of the proposed intervention,NA
Model -> Direct -> Translational,5,text,What direct evidence from clinical studies in the target population suggests that the drug engages and has the desired effect on its molecular target?,d0d1
Model -> Direct -> Translational,5,prompt,Does this evidence address the following threats to validity?,NA
Model -> Direct -> Translational,5,check,Magnitude of effect (The size of the effect being reported is quantified),d0d1:magnitude-of-effect
Model -> Direct -> Translational,5,check,Units are provided for all reported measures of effect where appropriate,d0d1:units-provided
Model -> Direct -> Translational,5,check,"If appropriate, some measure of precision around the estimate of effect has been provided, e.g. p-value, 95% confidence interval, etc.",d0d1:measure-precision
Model -> Direct -> Translational,5,check,Identity of comparator mentioned,d0d1:comparator
Model -> Direct -> Translational,5,prompt,Does this evidence include the following measures to address risk of bias?,NA
Model -> Direct -> Translational,5,check,Randomized experimental design is mentioned,m0m1:randomization
Model -> Direct -> Translational,5,check,Masked experimental design is mentioned,d0d1:masking
Model -> Direct -> Translational,5,check,Study in question was pre-registered,d0d1:preregistration
,,,,
Model -> Direct -> Translational,6,prompt,Direct evidence about the physiological effects of the drug,NA
Model -> Direct -> Translational,6,text,What direct evidence from clinical studies in the target population suggests that the drug engages and has the desired effect on its molecular target?,d1d2
Model -> Direct -> Translational,6,prompt,Does this evidence address the following threats to validity?,NA
Model -> Direct -> Translational,6,check,Magnitude of effect (The size of the effect being reported is quantified),d1d2:magnitude-of-effect
Model -> Direct -> Translational,6,check,Units are provided for all reported measures of effect where appropriate,d1d2:units-provided
Model -> Direct -> Translational,6,check,"If appropriate, some measure of precision around the estimate of effect has been provided, e.g. p-value, 95% confidence interval, etc.",d1d2:measure-precision
Model -> Direct -> Translational,6,check,Identity of comparator mentioned,d1d2:comparator
Model -> Direct -> Translational,6,prompt,Does this evidence include the following measures to address risk of bias?,NA
Model -> Direct -> Translational,6,check,Randomized experimental design is mentioned,m0m1:randomization
Model -> Direct -> Translational,6,check,Masked experimental design is mentioned,d1d2:masking
Model -> Direct -> Translational,6,check,Study in question was pre-registered,d1d2:preregistration
,,,,
Model -> Direct -> Translational,7,prompt,Direct evidence about the clinical effects of the drug,NA
Model -> Direct -> Translational,7,text,What direct evidence from clinical studies in the target population suggests that the drug engages and has the desired effect on its molecular target?,d2d3
Model -> Direct -> Translational,7,prompt,Does this evidence address the following threats to validity?,NA
Model -> Direct -> Translational,7,check,Magnitude of effect (The size of the effect being reported is quantified),d2d3:magnitude-of-effect
Model -> Direct -> Translational,7,check,Units are provided for all reported measures of effect where appropriate,d2d3:units-provided
Model -> Direct -> Translational,7,check,"If appropriate, some measure of precision around the estimate of effect has been provided, e.g. p-value, 95% confidence interval, etc.",d2d3:measure-precision
Model -> Direct -> Translational,7,check,Identity of comparator mentioned,d2d3:comparator
